brand,support_messages,usable_pairs,pct_customer_msgs_answered,avg_customer_msg_len_chars
AmazonHelp,169840,168814,10.98,116.6
AppleSupport,106860,106646,6.93,109.3
Uber_Support,56270,56160,3.65,120.2
SpotifyCares,43265,43092,2.8,103.9
Delta,42253,42114,2.74,110.7
Tesco,38573,38468,2.5,117.5
AmericanAir,36764,36531,2.38,123.4
TMobileHelp,34317,34215,2.22,110.9
comcastcares,33031,32921,2.14,110.9
British_Airways,29361,29290,1.9,133.0
SouthwestAir,28977,28828,1.87,115.5
VirginTrains,27817,27416,1.78,115.5
Ask_Spectrum,25860,25617,1.67,105.4
XboxSupport,24557,23235,1.51,110.0
sprintcare,22381,22209,1.44,102.1
